avg_size,edge_collisions,entropy_loss,episodes,policy_entropy,policy_loss,reward_rate,self_collisions,steps,t,value_loss
3.115234375,0.09765625,-1.3853696584701538,4229,1.3858243227005005,0.23827151954174042,-9.203125,0.0,51200,3.4353225231170654,0.34162387251853943
3.103515625,0.05859375,-1.3860304355621338,8519,1.3860300779342651,0.20930872857570648,-4.125,0.0,102400,7.216921806335449,0.3405721187591553
3.109375,0.087890625,-1.3860809803009033,12882,1.3860833644866943,0.2342395782470703,-7.0546875,0.0,153600,10.545239210128784,0.33675163984298706
3.09375,0.08984375,-1.3860998153686523,17115,1.3861066102981567,0.22436514496803284,-8.421875,0.00390625,204800,14.364015817642212,0.3347378671169281
3.083984375,0.064453125,-1.385882019996643,21416,1.3857083320617676,0.20950941741466522,-5.8828125,0.0,256000,17.72456192970276,0.3323422372341156
3.087890625,0.087890625,-1.3852087259292603,25684,1.3851900100708008,0.23073320090770721,-8.6171875,0.0,307200,21.537878036499023,0.33185821771621704
3.076171875,0.107421875,-1.3846629858016968,29768,1.3843694925308228,0.2296077013015747,-10.1796875,0.0,358400,24.877763986587524,0.3333989977836609
3.09375,0.0859375,-1.383784532546997,33895,1.3838090896606445,0.20889411866664886,-7.25,0.0,409600,28.704452991485596,0.32513004541397095
3.091796875,0.068359375,-1.3829482793807983,37979,1.3824185132980347,0.2148572951555252,-5.8828125,0.0,460800,32.06479573249817,0.34264084696769714
3.1171875,0.0703125,-1.3816131353378296,41894,1.3814024925231934,0.2224978655576706,-4.515625,0.0,512000,35.89374351501465,0.33636242151260376
3.115234375,0.091796875,-1.3805962800979614,45754,1.3799140453338623,0.2072584480047226,-7.25,0.001953125,563200,39.23892378807068,0.33452343940734863
3.12890625,0.0703125,-1.3767929077148438,49352,1.3766835927963257,0.19942763447761536,-5.6875,0.0,614400,43.085267543792725,0.34521937370300293
3.12109375,0.060546875,-1.3726239204406738,52915,1.3703662157058716,0.21895627677440643,-5.4921875,0.0,665600,46.55482816696167,0.3363843858242035
